Katon: Goka Mekkyaku (Fire Style: Majestic Destroyer Flame); initial_power: 150; type: 1-ninjutsu; dps_extra_increase_per_level: 50; element: 2
Mokuton: Jukai Kotan (Wood Style: Deep Forest Emergence); initial_power: 140; type: 1-ninjutsu; dps_extra_increase_per_level: 45; element: 1, 4
Full Susanoo (Full Susanoo); initial_power: 300; type: 1-ninjutsu; dps_extra_increase_per_level: 80; element: 0
Limbo: Hengoku (Limbo: Hengoku); initial_power: 280; type: 1-ninjutsu; dps_extra_increase_per_level: 70; element: 0
Mugen Tsukuyomi (Infinite Tsukuyomi); initial_power: 500; type: 2-genjutsu; dps_extra_increase_per_level: 120; element: 0
Shuriken Jutsu (Shuriken Technique); initial_power: 40; type: 1-ninjutsu; dps_extra_increase_per_level: 8; element: 0
Katon: Gokakyu no Jutsu (Fire Style: Fireball Jutsu); initial_power: 60; type: 1-ninjutsu; dps_extra_increase_per_level: 12; element: 2
Chidori (Chidori); initial_power: 100; type: 1-ninjutsu; dps_extra_increase_per_level: 25; element: 5
Chidori Nagashi (Chidori Nagashi); initial_power: 110; type: 1-ninjutsu; dps_extra_increase_per_level: 28; element: 5
Kirin (Kirin); initial_power: 200; type: 1-ninjutsu; dps_extra_increase_per_level: 60; element: 5
Susanoo Arrow (Susanoo Arrow); initial_power: 180; type: 1-ninjutsu; dps_extra_increase_per_level: 55; element: 0
Full Susanoo Lightning BijuuAmp (Full Susanoo Lightning BijuuAmp); initial_power: 400; type: 4-senjutsu; dps_extra_increase_per_level: 150; element: 5
Oodama Rasengan (Giant Rasengan); initial_power: 120; type: 1-ninjutsu; dps_extra_increase_per_level: 35; element: 0
Kuchyose no Jutsu (Summoning Jutsu); initial_power: 90; type: 1-ninjutsu; dps_extra_increase_per_level: 20; element: 0
Katon: Gamayu Endan (Fire Style: Toad Oil Flame Bullet); initial_power: 130; type: 1-ninjutsu; dps_extra_increase_per_level: 40; element: 2
Kage Bunshin no Jutsu (Shadow Clone Jutsu); initial_power: 50; type: 1-ninjutsu; dps_extra_increase_per_level: 15; element: 0
Rasengan (Rasengan); initial_power: 100; type: 1-ninjutsu; dps_extra_increase_per_level: 25; element: 0
Red Rasengan (Red Rasengan); initial_power: 150; type: 1-ninjutsu; dps_extra_increase_per_level: 40; element: 2
Mini Bijuudama (Mini Tailed Beast Bomb); initial_power: 200; type: 1-ninjutsu; dps_extra_increase_per_level: 60; element: 1
Fuuton: Rasenshuriken (Wind Style: Rasenshuriken); initial_power: 300; type: 1-ninjutsu; dps_extra_increase_per_level: 90; element: 3
Senpou: Bijuudama Rasenshuriken (Tailed Beast Bomb Rasen Shuriken); initial_power: 500; type: 4-senjutsu; dps_extra_increase_per_level: 150; element: 1, 2, 3, 4, 5
Healing (passive) (Healing (passive)); initial_power: 20; type: 1-ninjutsu; dps_extra_increase_per_level: 2; element: 0
Byakugou (passive) (Byakugou (passive)); initial_power: 100; type: 1-ninjutsu; dps_extra_increase_per_level: 10; element: 0
Raikiri (Raikiri); initial_power: 130; type: 1-ninjutsu; dps_extra_increase_per_level: 40; element: 5
Doton: Doryuheki (Earth Style: Earth Wall); initial_power: 60; type: 1-ninjutsu; dps_extra_increase_per_level: 10; element: 4
Kamui (Kamui); initial_power: 200; type: 1-ninjutsu; dps_extra_increase_per_level: 80; element: 0
